Dossier de Prêt;Solde du Compte Courant;Durée du Prêt;Remboursement des Prêts Antérieurs;Objectif du Prêt;Montant du Prêt;Valeur de l'Épargne;Ancienneté chez l'Employeur Actuel;Endettement en % du Revenu Disponible;Statut Marital;Sexe;Ancienneté dans le Ménage Actuel;Actifs les Plus Importants;Age;Autres Prêts en Cours;Type de Logement;Nombre de Prêts Antérieurs dans cette Banque;Occupation;Ensemble
mauvais;négligeable;24;aucun prêt antérieur;véhicule d'occasion;5 679,80 €;pas d'épargne;5-8 ans;15- 25;divorcé/séparé;Homme;5-8 ans;assurance vie;41;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;18;aucun prêt antérieur;réparations;1 050,00 €;pas d'épargne;sans emploi;< 15;divorcé/séparé/marié;Femme;< 1 an;aucun actif;25;pas d'autres prêts en cours;locataire;1;sans expérience et sans domicile fixe;Apprentissage
mauvais;négligeable;36;aucun problème avec les prêts antérieurs;réorientation professionnelle;6 237,00 €;pas d'épargne;1-5 ans;25-35;divorcé/séparé;Homme;1-5 ans;aucun actif;28;grand magasin;locataire;02-avr;cadre/profession libérale;Apprentissage
bon;>300€;6;aucun problème avec les prêts antérieurs;réorientation professionnelle;2 440,20 €;<140;1-5 ans;> 35;célibataire;Homme;1-5 ans;aucun actif;32;pas d'autres prêts en cours;locataire;02-avr;sans expérience avec domicile fixe;Test
bon;pas de compte courant;12;aucun prêt antérieur;autre;2 650,20 €;pas d'épargne;1-5 ans;< 15;divorcé/séparé/marié;Femme;>8 ans;véhicule;27;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;>300€;42;aucun prêt antérieur;mobilier;10 032,40 €;>1400;5-8 ans;25-35;marié/veuf;Homme;>8 ans;véhicule;27;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Test
bon;pas de compte courant;48;aucun prêt antérieur;véhicule neuf;6 703,20 €;pas d'épargne;5-8 ans;< 15;célibataire;Homme;5-8 ans;véhicule;24;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
mauvais;négligeable;24;comptes courants à problèmes;réparations;2 571,80 €;pas d'épargne;5-8 ans;< 15;divorcé/séparé/marié;Femme;>8 ans;propriétaire d'un logement/terrain;32;banques concurrentes;propriétaire;1;sans expérience avec domicile fixe;Apprentissage
bon;négligeable;24;remboursement intégral;autre;5 429,20 €;<140;<1 an;< 15;divorcé/séparé;Homme;1-5 ans;assurance vie;35;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;négligeable;48;aucun prêt antérieur;création d'entreprise;7 533,40 €;>1400;sans emploi;15- 25;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;38;banques concurrentes;propriétaire;1;sans expérience et sans domicile fixe;Apprentissage
bon;<= 300€;12;aucun prêt antérieur;mobilier;4 758,60 €;>1400;> 8 ans;25-35;célibataire;Homme;5-8 ans;assurance vie;35;pas d'autres prêts en cours;locataire;1;cadre/profession libérale;Apprentissage
bon;>300€;24;remboursement intégral;véhicule d'occasion;2 839,20 €;pas d'épargne;5-8 ans;25-35;célibataire;Homme;1-5 ans;véhicule;28;pas d'autres prêts en cours;locataire;02-avr;sans expérience avec domicile fixe;Apprentissage
bon;pas de compte courant;18;remboursement intégral;autre;7 422,80 €;pas d'épargne;> 8 ans;25-35;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;34;pas d'autres prêts en cours;propriétaire;05-juin;cadre/profession libérale;Apprentissage
bon;>300€;12;aucun prêt antérieur;autre;2 637,60 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;assurance vie;37;pas d'autres prêts en cours;locataire;1;cadre/profession libérale;Test
mauvais;>300€;10;aucun prêt antérieur;autre;1 832,60 €;>1400;1-5 ans;< 15;célibataire;Homme;>8 ans;véhicule;25;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Apprentissage
bon;négligeable;48;aucun problème avec les prêts antérieurs;création d'entreprise;10 614,80 €;<140;sans emploi;25-35;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;29;pas d'autres prêts en cours;locataire;1;cadre/profession libérale;Apprentissage
mauvais;négligeable;24;aucun problème avec les prêts antérieurs;véhicule d'occasion;2 889,60 €;pas d'épargne;sans emploi;15- 25;divorcé/séparé/marié;Femme;1-5 ans;véhicule;32;pas d'autres prêts en cours;locataire;1;cadre/profession libérale;Apprentissage
bon;>300€;33;remboursement intégral;véhicule neuf;10 154,20 €;pas d'épargne;5-8 ans;15- 25;célibataire;Homme;1-5 ans;assurance vie;33;pas d'autres prêts en cours;locataire;02-avr;cadre/profession libérale;Test
bon;négligeable;12;aucun prêt antérieur;mobilier;2 193,80 €;pas d'épargne;1-5 ans;> 35;divorcé/séparé/marié;Femme;< 1 an;assurance vie;20;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;négligeable;12;aucun prêt antérieur;mobilier;1 617,00 €;pas d'épargne;> 8 ans;15- 25;marié/veuf;Homme;5-8 ans;aucun actif;38;banques concurrentes;locataire;02-avr;sans expérience avec domicile fixe;Test
mauvais;>300€;36;remboursement intégral;autre;10 997,00 €;pas d'épargne;1-5 ans;< 15;divorcé/séparé/marié;Femme;1-5 ans;aucun actif;23;grand magasin;locataire;02-avr;salarié expérimenté;Apprentissage
bon;pas de compte courant;12;aucun prêt antérieur;véhicule d'occasion;1 804,60 €;pas d'épargne;1-5 ans;< 15;célibataire;Homme;< 1 an;véhicule;19;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Test
bon;pas de compte courant;6;remboursement intégral;mobilier;1 636,60 €;>1400;> 8 ans;< 15;célibataire;Homme;>8 ans;aucun actif;65;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
mauvais;négligeable;30;remboursement intégral;autre;5 948,60 €;pas d'épargne;sans emploi;< 15;marié/veuf;Homme;1-5 ans;assurance vie;26;pas d'autres prêts en cours;locataire;02-avr;cadre/profession libérale;Apprentissage
bon;>300€;24;aucun prêt antérieur;autre;10 350,20 €;pas d'épargne;1-5 ans;> 35;célibataire;Homme;>8 ans;véhicule;41;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Test
mauvais;pas de compte courant;16;remboursement intégral;autre;3 675,00 €;pas d'épargne;> 8 ans;25-35;célibataire;Homme;>8 ans;véhicule;41;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;12;aucun prêt antérieur;télévision;1 037,40 €;<140;sans emploi;< 15;divorcé/séparé/marié;Femme;5-8 ans;véhicule;20;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;>300€;9;remboursement intégral;autre;2 987,60 €;pas d'épargne;1-5 ans;< 15;célibataire;Homme;>8 ans;assurance vie;46;pas d'autres prêts en cours;locataire;05-juin;salarié expérimenté;Test
mauvais;>300€;27;aucun prêt antérieur;autre;3 598,00 €;pas d'épargne;1-5 ans;15- 25;divorcé/séparé/marié;Femme;5-8 ans;aucun actif;19;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Test
bon;>300€;6;remboursement intégral;mobilier;1 934,80 €;pas d'épargne;1-5 ans;> 35;divorcé/séparé/marié;Femme;< 1 an;assurance vie;26;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
mauvais;pas de compte courant;42;aucun prêt antérieur;mobilier;5 551,00 €;pas d'épargne;<1 an;< 15;célibataire;Homme;5-8 ans;assurance vie;32;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;<= 300€;12;aucun prêt antérieur;mobilier;2 633,40 €;pas d'épargne;1-5 ans;25-35;divorcé/séparé/marié;Femme;1-5 ans;assurance vie;42;pas d'autres prêts en cours;à titre gracieux;1;sans expérience avec domicile fixe;Test
bon;négligeable;9;aucun prêt antérieur;mobilier;2 965,20 €;pas d'épargne;1-5 ans;25-35;célibataire;Homme;1-5 ans;aucun actif;35;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Test
bon;>300€;15;aucun problème avec les prêts antérieurs;mobilier;2 069,20 €;pas d'épargne;1-5 ans;< 15;marié/veuf;Homme;5-8 ans;aucun actif;31;banques concurrentes;locataire;02-avr;salarié expérimenté;Test
bon;>300€;24;aucun prêt antérieur;véhicule neuf;3 738,00 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;assurance vie;33;pas d'autres prêts en cours;locataire;1;cadre/profession libérale;Apprentissage
bon;négligeable;12;aucun prêt antérieur;réorientation professionnelle;1 177,40 €;<140;5-8 ans;25-35;divorcé/séparé/marié;Femme;>8 ans;aucun actif;21;pas d'autres prêts en cours;à titre gracieux;1;sans expérience avec domicile fixe;Test
bon;>300€;15;aucun prêt antérieur;autre;7 453,60 €;140-700;> 8 ans;> 35;divorcé/séparé/marié;Femme;>8 ans;propriétaire d'un logement/terrain;33;pas d'autres prêts en cours;propriétaire;1;salarié expérimenté;Apprentissage
bon;pas de compte courant;27;aucun prêt antérieur;mobilier;4 782,40 €;pas d'épargne;1-5 ans;15- 25;célibataire;Homme;1-5 ans;assurance vie;25;pas d'autres prêts en cours;locataire;1;cadre/profession libérale;Apprentissage
bon;négligeable;10;aucun prêt antérieur;véhicule d'occasion;2 129,40 €;pas d'épargne;1-5 ans;< 15;divorcé/séparé;Homme;1-5 ans;assurance vie;29;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Apprentissage
mauvais;pas de compte courant;18;aucun prêt antérieur;autre;1 702,40 €;pas d'épargne;<1 an;< 15;divorcé/séparé/marié;Femme;5-8 ans;assurance vie;21;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
bon;<= 300€;24;remboursement intégral;mobilier;4 407,20 €;>1400;1-5 ans;15- 25;célibataire;Homme;1-5 ans;assurance vie;29;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
mauvais;négligeable;24;aucun prêt antérieur;véhicule neuf;5 758,20 €;140-700;<1 an;15- 25;divorcé/séparé/marié;Femme;>8 ans;assurance vie;26;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Test
bon;>300€;24;aucun prêt antérieur;autre;1 748,60 €;pas d'épargne;<1 an;< 15;marié/veuf;Homme;1-5 ans;aucun actif;26;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;>300€;6;aucun prêt antérieur;véhicule d'occasion;4 169,20 €;140-700;1-5 ans;> 35;célibataire;Homme;1-5 ans;assurance vie;30;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
mauvais;>300€;12;remboursement intégral;réorientation professionnelle;3 208,80 €;pas d'épargne;sans emploi;< 15;célibataire;Homme;1-5 ans;assurance vie;40;grand magasin;locataire;02-avr;cadre/profession libérale;Test
bon;>300€;12;remboursement intégral;réorientation professionnelle;1 769,60 €;>1400;> 8 ans;< 15;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;55;pas d'autres prêts en cours;à titre gracieux;1;sans expérience avec domicile fixe;Apprentissage
bon;>300€;18;remboursement intégral;véhicule d'occasion;5 292,00 €;pas d'épargne;<1 an;15- 25;divorcé/séparé;Homme;1-5 ans;assurance vie;33;pas d'autres prêts en cours;locataire;02-avr;cadre/profession libérale;Test
bon;>300€;15;aucun prêt antérieur;autre;4 460,40 €;700-1400;5-8 ans;25-35;divorcé/séparé/marié;Femme;5-8 ans;assurance vie;18;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
bon;>300€;60;aucun prêt antérieur;autre;14 512,40 €;pas d'épargne;> 8 ans;25-35;célibataire;Homme;>8 ans;véhicule;40;pas d'autres prêts en cours;locataire;1;cadre/profession libérale;Apprentissage
bon;>300€;18;remboursement intégral;mobilier;8 498,00 €;pas d'épargne;> 8 ans;15- 25;célibataire;Homme;>8 ans;assurance vie;31;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;>300€;24;remboursement intégral;véhicule neuf;8 125,60 €;700-1400;1-5 ans;< 15;célibataire;Homme;1-5 ans;aucun actif;25;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;pas de compte courant;24;aucun prêt antérieur;véhicule d'occasion;10 809,40 €;>1400;<1 an;> 35;divorcé/séparé/marié;Femme;1-5 ans;véhicule;28;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;>300€;6;remboursement intégral;autre;350,00 €;700-1400;1-5 ans;25-35;divorcé/séparé/marié;Femme;1-5 ans;aucun actif;39;banques concurrentes;locataire;02-avr;sans expérience avec domicile fixe;Apprentissage
bon;>300€;6;aucun prêt antérieur;véhicule d'occasion;2 160,20 €;700-1400;1-5 ans;< 15;divorcé/séparé;Homme;1-5 ans;aucun actif;31;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;négligeable;11;aucun prêt antérieur;véhicule d'occasion;2 207,80 €;700-1400;<1 an;< 15;divorcé/séparé/marié;Femme;< 1 an;aucun actif;18;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;négligeable;15;remboursement intégral;mobilier;3 819,20 €;>1400;5-8 ans;< 15;célibataire;Homme;1-5 ans;aucun actif;33;banques concurrentes;locataire;05-juin;salarié expérimenté;Apprentissage
bon;>300€;24;aucun problème avec les prêts antérieurs;autre;1 003,80 €;>1400;> 8 ans;< 15;marié/veuf;Homme;>8 ans;assurance vie;52;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;pas de compte courant;6;remboursement intégral;autre;1 204,00 €;pas d'épargne;> 8 ans;> 35;divorcé/séparé/marié;Femme;>8 ans;propriétaire d'un logement/terrain;37;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
mauvais;>300€;18;aucun prêt antérieur;électroménager;2 720,20 €;pas d'épargne;<1 an;< 15;divorcé/séparé/marié;Femme;>8 ans;aucun actif;21;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;36;aucun prêt antérieur;autre;12 979,40 €;pas d'épargne;5-8 ans;25-35;célibataire;Homme;< 1 an;assurance vie;22;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;>300€;15;remboursement intégral;mobilier;1 842,40 €;140-700;1-5 ans;25-35;marié/veuf;Homme;1-5 ans;véhicule;45;pas d'autres prêts en cours;locataire;02-avr;sans expérience avec domicile fixe;Apprentissage
bon;>300€;24;aucun prêt antérieur;véhicule neuf;4 883,20 €;<140;5-8 ans;15- 25;divorcé/séparé/marié;Femme;>8 ans;assurance vie;21;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;21;aucun prêt antérieur;mobilier;2 569,00 €;pas d'épargne;1-5 ans;15- 25;divorcé/séparé/marié;Femme;1-5 ans;aucun actif;23;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;pas de compte courant;18;délicat;réorientation professionnelle;4 345,60 €;pas d'épargne;5-8 ans;15- 25;célibataire;Homme;< 1 an;véhicule;29;banques concurrentes;locataire;1;salarié expérimenté;Apprentissage
mauvais;négligeable;12;aucun prêt antérieur;autre;1 170,40 €;<140;<1 an;< 15;divorcé/séparé/marié;Femme;1-5 ans;véhicule;21;banques concurrentes;locataire;1;sans expérience avec domicile fixe;Test
bon;>300€;24;aucun prêt antérieur;véhicule d'occasion;7 715,40 €;<140;1-5 ans;< 15;célibataire;Homme;< 1 an;assurance vie;23;grand magasin;locataire;1;salarié expérimenté;Test
bon;<= 300€;18;aucun prêt antérieur;autre;2 745,40 €;pas d'épargne;> 8 ans;15- 25;divorcé/séparé/marié;Femme;1-5 ans;assurance vie;21;pas d'autres prêts en cours;locataire;1;cadre/profession libérale;Test
bon;négligeable;10;aucun prêt antérieur;autre;10 231,20 €;pas d'épargne;sans emploi;25-35;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;68;banques concurrentes;propriétaire;1;cadre/profession libérale;Test
bon;>300€;24;remboursement intégral;mobilier;3 393,60 €;>1400;> 8 ans;< 15;célibataire;Homme;>8 ans;véhicule;51;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
mauvais;négligeable;36;aucun problème avec les prêts antérieurs;autre;3 115,00 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;55;banques concurrentes;propriétaire;02-avr;salarié expérimenté;Apprentissage
bon;>300€;6;aucun prêt antérieur;mobilier;2 233,00 €;pas d'épargne;5-8 ans;15- 25;célibataire;Homme;1-5 ans;véhicule;49;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
mauvais;négligeable;48;délicat;création d'entreprise;25 793,60 €;pas d'épargne;1-5 ans;> 35;divorcé/séparé/marié;Femme;1-5 ans;véhicule;30;banques concurrentes;locataire;1;cadre/profession libérale;Apprentissage
mauvais;pas de compte courant;24;comptes courants à problèmes;véhicule d'occasion;9 620,80 €;pas d'épargne;<1 an;25-35;divorcé/séparé;Homme;< 1 an;véhicule;53;banques concurrentes;locataire;1;salarié expérimenté;Apprentissage
bon;négligeable;36;aucun problème avec les prêts antérieurs;autre;10 404,80 €;pas d'épargne;1-5 ans;25-35;divorcé/séparé/marié;Femme;1-5 ans;véhicule;52;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
bon;>300€;30;remboursement intégral;véhicule neuf;10 634,40 €;>1400;> 8 ans;> 35;célibataire;Homme;>8 ans;assurance vie;61;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;pas de compte courant;30;aucun prêt antérieur;véhicule neuf;5 399,80 €;pas d'épargne;1-5 ans;< 15;divorcé/séparé;Homme;>8 ans;véhicule;38;pas d'autres prêts en cours;locataire;1;cadre/profession libérale;Test
bon;<= 300€;10;remboursement intégral;mobilier;1 885,80 €;>1400;5-8 ans;< 15;célibataire;Homme;1-5 ans;véhicule;25;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;négligeable;30;aucun prêt antérieur;mobilier;4 187,40 €;>1400;> 8 ans;25-35;divorcé/séparé/marié;Femme;>8 ans;assurance vie;23;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;négligeable;36;aucun prêt antérieur;réparations;5 195,40 €;>1400;1-5 ans;25-35;marié/veuf;Homme;1-5 ans;assurance vie;25;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;négligeable;6;aucun problème avec les prêts antérieurs;réorientation professionnelle;2 028,60 €;<140;> 8 ans;> 35;divorcé/séparé;Homme;1-5 ans;assurance vie;29;banques concurrentes;locataire;02-avr;salarié expérimenté;Apprentissage
bon;négligeable;48;comptes courants à problèmes;autre;17 036,60 €;>1400;sans emploi;< 15;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;34;pas d'autres prêts en cours;propriétaire;1;cadre/profession libérale;Apprentissage
mauvais;pas de compte courant;12;aucun prêt antérieur;réparations;1 113,00 €;pas d'épargne;<1 an;< 15;divorcé/séparé/marié;Femme;>8 ans;véhicule;51;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;>300€;15;aucun prêt antérieur;véhicule neuf;1 820,00 €;>1400;> 8 ans;< 15;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;43;banques concurrentes;propriétaire;1;salarié expérimenté;Test
bon;>300€;36;aucun problème avec les prêts antérieurs;véhicule neuf;12 525,80 €;>1400;5-8 ans;15- 25;célibataire;Homme;1-5 ans;assurance vie;29;grand magasin;locataire;1;cadre/profession libérale;Apprentissage
bon;>300€;24;remboursement intégral;mobilier;3 757,60 €;pas d'épargne;1-5 ans;< 15;célibataire;Homme;1-5 ans;aucun actif;33;pas d'autres prêts en cours;locataire;02-avr;sans expérience avec domicile fixe;Test
bon;pas de compte courant;21;remboursement intégral;autre;799,40 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;aucun actif;63;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;<= 300€;10;aucun prêt antérieur;télévision;1 715,00 €;pas d'épargne;1-5 ans;25-35;célibataire;Homme;1-5 ans;assurance vie;35;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;négligeable;27;aucun problème avec les prêts antérieurs;véhicule neuf;8 351,00 €;pas d'épargne;> 8 ans;> 35;célibataire;Homme;1-5 ans;assurance vie;28;pas d'autres prêts en cours;locataire;02-avr;cadre/profession libérale;Apprentissage
bon;>300€;12;remboursement intégral;électroménager;1 394,40 €;>1400;5-8 ans;< 15;divorcé/séparé/marié;Femme;>8 ans;aucun actif;21;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;>300€;24;aucun prêt antérieur;mobilier;2 172,80 €;pas d'épargne;5-8 ans;15- 25;célibataire;Homme;< 1 an;assurance vie;30;banques concurrentes;locataire;1;salarié expérimenté;Apprentissage
mauvais;>300€;30;comptes courants à problèmes;véhicule neuf;10 479,00 €;>1400;sans emploi;< 15;divorcé/séparé/marié;Femme;< 1 an;aucun actif;51;banques concurrentes;locataire;1;cadre/profession libérale;Test
bon;pas de compte courant;12;aucun prêt antérieur;véhicule d'occasion;912,80 €;pas d'épargne;> 8 ans;< 15;divorcé/séparé/marié;Femme;>8 ans;véhicule;22;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
bon;pas de compte courant;12;remboursement intégral;mobilier;539,00 €;pas d'épargne;5-8 ans;< 15;divorcé/séparé/marié;Femme;5-8 ans;aucun actif;56;pas d'autres prêts en cours;locataire;7 et +;sans expérience avec domicile fixe;Apprentissage
bon;négligeable;12;aucun prêt antérieur;mobilier;1 528,80 €;pas d'épargne;1-5 ans;< 15;divorcé/séparé/marié;Femme;>8 ans;aucun actif;47;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
bon;négligeable;24;aucun problème avec les prêts antérieurs;réorientation professionnelle;6 596,80 €;>1400;1-5 ans;< 15;célibataire;Homme;1-5 ans;véhicule;32;banques concurrentes;locataire;02-avr;cadre/profession libérale;Test
bon;>300€;9;remboursement intégral;réparations;1 741,60 €;>1400;> 8 ans;< 15;divorcé/séparé/marié;Femme;>8 ans;véhicule;39;pas d'autres prêts en cours;à titre gracieux;02-avr;sans expérience avec domicile fixe;Apprentissage
bon;>300€;6;comptes courants à problèmes;mobilier;2 450,00 €;140-700;> 8 ans;25-35;célibataire;Homme;>8 ans;véhicule;43;banques concurrentes;locataire;1;sans expérience avec domicile fixe;Apprentissage
bon;négligeable;18;aucun prêt antérieur;réorientation professionnelle;3 670,80 €;<140;1-5 ans;< 15;célibataire;Homme;>8 ans;assurance vie;32;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;>300€;9;remboursement intégral;réparations;1 310,40 €;140-700;> 8 ans;< 15;célibataire;Homme;1-5 ans;assurance vie;50;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;négligeable;24;aucun prêt antérieur;mobilier;7 117,60 €;>1400;> 8 ans;25-35;divorcé/séparé/marié;Femme;>8 ans;assurance vie;40;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;>300€;36;aucun problème avec les prêts antérieurs;autre;15 225,00 €;pas d'épargne;> 8 ans;25-35;célibataire;Homme;1-5 ans;assurance vie;43;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
mauvais;>300€;48;aucun prêt antérieur;réorientation professionnelle;5 479,60 €;>1400;1-5 ans;< 15;divorcé/séparé;Homme;1-5 ans;aucun actif;36;banques concurrentes;locataire;1;salarié expérimenté;Test
bon;pas de compte courant;42;aucun prêt antérieur;véhicule d'occasion;11 034,80 €;pas d'épargne;5-8 ans;25-35;célibataire;Homme;>8 ans;véhicule;43;pas d'autres prêts en cours;propriétaire;1;salarié expérimenté;Apprentissage
mauvais;>300€;18;aucun prêt antérieur;mobilier;606,20 €;pas d'épargne;sans emploi;15- 25;divorcé/séparé/marié;Femme;>8 ans;aucun actif;20;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
bon;>300€;12;remboursement intégral;mobilier;1 003,80 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;aucun actif;50;pas d'autres prêts en cours;locataire;05-juin;salarié expérimenté;Test
bon;>300€;13;aucun prêt antérieur;mobilier;1 972,60 €;<140;sans emploi;25-35;divorcé/séparé/marié;Femme;>8 ans;aucun actif;62;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
mauvais;négligeable;6;comptes courants à problèmes;réparations;606,20 €;700-1400;<1 an;< 15;divorcé/séparé/marié;Femme;1-5 ans;véhicule;22;banques concurrentes;à titre gracieux;1;salarié expérimenté;Apprentissage
bon;>300€;24;aucun prêt antérieur;mobilier;1 835,40 €;<140;5-8 ans;< 15;marié/veuf;Homme;5-8 ans;véhicule;24;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
